,"alagr","asagr","afore","afish","amcoa","amnfm","amoth","afood","atobm","atext","aclth","aleat","awood","apapp","aprin","achem","arupl","aglas","anmmp","airon","ametp","amach","aequi","atreq","aothm","aelwa","acnst","afins","abuss","atrac","atrns","apuba","aeduc","aheal","adoms","aoths","ctoba","cmaiz","cothg","csuga","ccott","coicr","chort","ccttl","cpoul","coliv","cdair","cfore","cfish","cmcoa","cmdia","cmgol","cmpgm","cmoth","cfood","ctobm","ctext","cclth","cleat","cwood","cpapp","cprin","cchem","crupl","cglas","cnmmp","ciron","cmetp","cmach","cequi","ctreq","cothm","celec","cwate","ccnst","cfins","cbuss","ctrac","ctrns","cpuba","ceduc","cheal","cdoms","coths","trc","flabsk","flabus","fcap","fmix","ent","hhrur","hhurb","gov","atax","stax","mtax","dtax","s-i","dstk","row"
"aothm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,3,6,3,22,0,2,,,1,1,,,0,34,92,,1,,0,3,,,,,,,,,,,,,,,,,,,,,,
"aelwa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,454,,,,,,,,,,,,,,,,,,,,,,,,,,
"acnst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,,28,1,,,,,,0,,,,,,,,,,,,,,,,
"afins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250",,,,,,,,,,,,,,,,,,,,,,,,
"abuss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,,,,,,,,,,,,,,,,,,,,,,,
"atrac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,445",,,,,,,,,,,,,,,,,,,,,,
"atrns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,"3,038",,,,,,,,,,,,,,,,,,,,,
"apuba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,062",,,,,,,,,,,,,,,,,,,,
"aeduc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,941",,,,,,,,,,,,,,,,,,,
"aheal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,
